States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
MA;Graça Aranha;205132.95;167137.78;17075.14;18984.5;185438;145531;1308;1271.15;1311.81;1351.13;40618.96;1535.29;42154.25;6872.23;42832.1;1602.82;44434.92;7094.83
MA;Grajaú;1890492.84;1978841.3;347460.7;386536.69;1428906;1471716;95112.42;101171.49;19013.72;19417.13;626327.42;43441.76;669769.19;9674.27;697445.71;54208.62;751654.33;10913.15
TO;Guaraí;637022.6;959811.57;243720.35;238874.74;316395;652533;61956.83;53267.95;14950.42;15135.88;537731.55;65429;603160.55;23522.37;581049.94;70421.95;651471.89;25371.81
TO;Gurupi;571547.23;557593.11;195598.41;186711.7;138326;150063;192880.88;173881.4;44741.94;46937.01;1970350.07;266064.79;2236414.86;26149.86;1936150.6;266469.24;2202619.84;25690.42
MA;Humberto de Campos;58997.91;53128.37;13560.49;6378.04;33190;32767;6905.4;8563.61;5342.02;5419.73;139521.06;5228.15;144749.21;5077.32;154478.95;6870.09;161349.04;5661.77
MA;Igarapé Grande;73910.38;85883.89;33692.14;39173.22;31928;38392;4621.12;4614.06;3669.12;3704.61;77750.66;4084.31;81834.96;7302.78;84435.82;4581.51;89017.33;7911.24
MA;Imperatriz;1234102.37;1217486.75;143118.94;158429.89;274420;212990;543465.31;557437.97;273098.12;288628.89;5839173.37;770248.87;6609422.24;25963.19;6318057.84;808688.14;7126745.97;27621.33
TO;Ipueiras;248812.16;194444.85;91231.25;86109.4;141331;89779;9546.78;11783.29;6703.14;6773.17;35819.1;850.4;36669.5;18756.78;29188.37;1165.43;30353.79;15353.46
TO;Itacajá;396769.41;506337.17;168747.9;161662.23;221094;337767;3933.47;3908.28;2994.04;2999.66;93600.85;4756.93;98357.78;13191.76;94435.47;5018.08;99453.55;13414.29
TO;Itaguatins;260687.9;220999.76;109830.16;110369.16;148056;107860;959.75;873.29;1841.99;1897.31;57797.13;1649.26;59446.38;9940.87;62549.85;1653.18;64203.03;10889.25
MA;Itaipava do Grajaú;404468.68;382050.26;60116.6;61881.67;339479;315268;1875.94;1885.07;2997.14;3015.51;76097.83;2471.43;78569.26;4907.82;82082.59;2330.84;84413.43;5310.02
MA;Itapecuru Mirim;372153.86;332933.24;47834.17;48376.98;240810;203998;61688.85;57650.46;21820.84;22907.8;544037.57;50043;594080.58;8771.82;515248.49;49298.41;564546.9;8342.28
TO;Itapiratins;297279.85;372763.81;136130.24;131128.97;157068;237370;2781.88;2986.34;1299.73;1278.5;67745.55;2341.17;70086.71;18580.78;68598.29;2421.22;71019.5;18898.22
TO;Itaporã do Tocantins;267547.79;236218.9;208832.81;193765.04;56311;40279;1285.57;1031.32;1118.41;1143.54;41632.99;1616.65;43249.64;17545.49;40801.77;2324.4;43126.17;17710.95
MA;Itinga do Maranhão;1088453.95;1660611.2;217710.17;227694.68;830190;1391740;28681.07;29303.1;11872.7;11873.41;266123.2;17369.71;283492.91;11078.7;300242.36;20924.83;321167.19;12384.98
BA;Jaborandi;740075.11;926377.65;275195.13;281619.88;431918;609536;26408.59;28656.16;6553.38;6565.6;391423.41;24032.66;415456.07;45876.33;634803.09;30752.34;665555.42;78337.5
MA;Jatobá;304045.46;234616.72;41863.05;58205.57;251929;161493;4887.49;9312.02;5365.92;5606.13;58792.7;1132.29;59924.99;5862.93;63785.76;1179.66;64965.42;6501.09
TO;Jaú do Tocantins;331270.27;365353;187125.52;172609.04;140919;189214;2103.27;2426.01;1122.47;1103.95;56096.92;2316.7;58413.62;15287.52;57840.45;2118.1;59958.54;15700.06
MA;Jenipapo dos Vieiras;678566.8;674038.72;123233.68;124319.54;549428;543717;2917.33;2803.85;2987.79;3198.33;86764.02;2438.65;89202.67;5465.51;91626.24;2134.64;93760.87;5705.99
MA;João Lisboa;354196.61;275011.51;166514.67;172125.26;173406;89570;8034.04;6745.84;6241.89;6570.41;180407.04;9737.81;190144.85;8252.1;205890.85;10932.76;216823.61;9150.22
MA;Joselândia;269735.73;204400.15;43611.2;38361.39;218776;158504;3963.22;4088.55;3385.31;3446.21;93553.25;3915.93;97469.18;6133.61;96350.9;4131.92;100482.81;6227.24
TO;Juarina;94606.11;96969.37;62493.63;56152.57;30055;38721;890.19;908.42;1167.29;1187.39;34418.14;1216.39;35634.53;15986.78;29383.43;1148.3;30531.73;13865.45
PI;Júlio Borges;36956.14;32342.73;34124.86;28889.58;406;1243;1151.62;959.93;1273.67;1250.21;38724.96;1724.73;40449.69;7309.3;41484.14;1697.7;43181.85;7691.81
MA;Lago do Junco;70410.44;69727.09;21602.2;21980.73;45668;44561;749.91;778.15;2390.33;2407.22;63442.58;2267.34;65709.92;6157.23;67058.2;2228.39;69286.59;6410.68
MA;Lago dos Rodrigues;56342.78;52074.26;29877.88;30434.13;21734;16690;2179.54;2303.39;2551.36;2646.74;68678.98;3367.49;72046.47;8315.61;76278.63;3442.65;79721.28;8968.53
MA;Lago Verde;201868.17;136280.82;83829.95;85385.21;111616;44843;2840.16;2270.94;3582.07;3781.67;95898.89;3332.17;99231.06;6192.27;101827.87;3754.58;105582.44;6517.84
TO;Lagoa da Confusão;1687450.34;1850545.2;689741.63;649070.58;938856;1164326;55058.05;32897.86;3794.66;4250.76;486505.56;41031.64;527537.2;41188.1;448014.93;35637.82;483652.75;37107.01
MA;Lagoa do Mato;270335.76;263610.62;46490.25;43342.03;220058;216175;1691.46;1989.32;2096.04;2104.26;72587.46;2858.77;75446.23;6828.95;75778.56;2572.94;78351.5;6973.88
TO;Lagoa do Tocantins;116790.15;172451.67;28823.46;28477.81;85634;141436;1093.9;1242.98;1238.79;1294.88;37702.08;915;38617.08;9214.29;38713.79;1055.32;39769.11;9386.15
TO;Lajeado;276567.66;309727.49;28580.45;26918.13;14395;25883;197658.58;218475.57;35933.63;38450.79;61029.1;3180.38;64209.47;20766.32;63866.64;3789.92;67656.56;21817.66
MA;Lajeado Novo;348460.14;330214.24;83928.24;96630.67;253280;223679;9130.36;7802.42;2121.54;2102.16;66818.77;3638;70456.76;9408.03;71039.48;4290.98;75330.46;10049.42
PI;Landri Sales;40808.75;67555.96;21969.29;21661.58;15541;42574;1588.64;1635.1;1709.82;1685.28;58358.09;3438.42;61796.51;11845.22;72956.83;4774.54;77731.37;14646.95
TO;Lavandeira;70297.57;65033.02;43039.47;41371.33;26518;22851;-;-;740.09;810.69;23101.24;778.15;23879.39;12735.67;23129.86;594;23723.86;12539.04
MA;Lima Campos;83144.51;91854.22;16879.97;17077.32;59019;68340;4397.67;3293.73;2847.88;3143.18;144858.98;5659.51;150518.49;12870.33;165772.09;5821.49;171593.58;14459.73
TO;Lizarda;123030.13;153439.04;43109.8;48622.11;77062;102167;1573.82;1307.25;1284.51;1342.68;33311.44;890.22;34201.66;9031.33;41543.18;918.16;42461.34;11329.07
MA;Loreto;368745.31;463131.12;78237.86;91002.76;234865;310002;52095.18;58509.82;3547.27;3616.54;186477.22;5458.97;191936.19;15982.7;215272.1;6103.08;221375.18;18298.49
BA;Luís Eduardo Magalhães;856386.51;924350.96;195819.62;211918.03;235086;242229;396562.96;436433.9;28917.93;33770.03;4077802.13;721694.47;4799496.6;57439.79;5259329;924843.77;6184172.78;72967.01
TO;Luzinópolis;53356.82;71752.78;22158.22;21605.25;28905;46935;1269.53;2123.3;1024.08;1089.23;32742.32;1469.73;34212.05;11261.37;32036.69;1648.91;33685.6;11008.37
MA;Magalhães de Almeida;73128.35;85089.81;27459.68;29471.92;29692;39956;11605.92;11004.3;4370.74;4657.59;110626.39;4841.91;115468.3;5837.92;118179.28;4933.12;123112.4;6274.84
PI;Manoel Emídio;65153.16;86024.63;16215.25;16429.82;45661;66389;1691.62;1538.62;1585.29;1667.19;40425.66;1985.46;42411.11;8053.76;39788.6;2300.05;42088.65;7869.98
BA;Mansidão;326288.17;331444.84;37808.93;39268.79;282012;285573;2999.21;3106.05;3468.04;3497.01;68996.86;2549.49;71546.35;5125.46;73307.69;2834.03;76141.72;5620.97
PI;Marcos Parente;20255.94;24840.79;12724.96;12552.76;3596;8541;2113.26;1872.83;1821.72;1874.2;36944.67;2790.82;39735.48;8873.49;38905.87;2895.47;41801.34;9187.11
TO;Marianópolis do Tocantins;502373;481095.22;241782.23;219571.6;254751;255516;4408.23;4705.77;1431.54;1301.84;115121.76;5226.92;120348.68;23812.56;120529.26;5833.23;126362.49;24806.14
MA;Mata Roma;52356.59;63661.27;10775.37;11657.88;30851;39559;5837.64;7266.16;4892.58;5178.23;117228.93;5233.19;122462.12;7313.35;140792.85;6059.55;146852.4;8804.63
TO;Mateiros;132317.8;211492.76;66965.2;72416.02;59754;134747;4886.5;3622.62;712.1;707.12;122906.04;3361.19;126267.23;48304.22;132659.49;2822.93;135482.42;51358.01
MA;Matões;499963.19;485930.08;31988.69;33177.5;452575;437652;7999.85;7423.58;7399.65;7677;166161.77;8311.84;174473.61;5227.83;175731.11;9145.92;184877.03;5499.84
MA;Matões do Norte;456528.51;449841.97;48113.75;46934.8;405275;399787;112.18;27.19;3027.59;3092.98;77510.98;1786.24;79297.22;4689.92;77204.12;1566.29;78770.41;4788.18
TO;Maurilândia do Tocantins;121786.53;135575.14;48210.47;51525.93;71765;82233;271.94;299.3;1539.12;1516.92;32339.48;884.89;33224.37;9746.08;35622.68;1008.78;36631.45;10764.46
MA;Milagres do Maranhão;45784.71;39909.08;11233.62;12041.63;32598;25858;338.99;368.31;1614.1;1641.14;49248.57;1029.1;50277.68;6038.64;52345.03;993.87;53338.9;6316.03
TO;Miracema do Tocantins;641980.29;580433.94;276665;261041.66;339275;292501;17371.49;17955.54;8668.8;8935.74;490692.95;35876.23;526569.17;27634.17;488004.52;38295.26;526299.77;28347.5
MA;Mirador;724879.43;690446.43;166456.69;173850.85;542701;500689;8181.22;8033.25;7540.52;7873.32;172577.06;7185.93;179762.99;8720.86;197422.22;8506.44;205928.67;9806.13
MA;Miranda do Norte;884736.83;487057.62;46475.91;46731.33;159967;78702;670529.17;353392.42;7764.75;8231.86;446017.27;41734.89;487752.16;17140.57;506119.53;48557.32;554676.85;19809.18
TO;Miranorte;403609.08;409807.96;164510.69;155431.09;163130;179284;70639.07;69691.48;5329.33;5401.39;208200.69;19543.34;227744.03;16962.91;239096.79;23700.92;262797.71;19648.43
PI;Monte Alegre do Piauí;248784.17;191013.07;55177.66;67324.7;182380;114168;8679.45;6946.94;2547.07;2573.42;145452.93;9673.65;155126.58;14847.49;184195.63;11948.14;196143.77;18484.95
TO;Monte do Carmo;475474.04;580579.49;179602.27;190268.68;292418;386963;1458.73;1327.79;1995.04;2020.02;156105.31;3378.33;159483.64;20525.56;173629.28;4550.14;178179.42;22764.71
TO;Monte Santo do Tocantins;336517.56;296282.07;136202.5;119111.82;199247;176098;-;-;1068.06;1072.25;35211.71;1361.52;36573.23;16154.25;34785.35;1086.55;35871.9;15851.48
MA;Montes Altos;262250.3;221866.98;74312.34;85150.38;183781;131838;1518.71;2212.13;2638.25;2666.47;60093.62;1703.61;61797.23;6952.1;64126.48;1982.14;66108.63;7178.7
PI;Morro Cabeça no Tempo;28454.06;26305.61;19486.91;14391.67;7428;10072;425.3;646.74;1113.84;1195.2;29892.41;732.84;30625.24;7532.03;30740.66;867.03;31607.69;6972.8
TO;Muricilândia;147974.25;177039.34;119937.9;129890.83;26217;45740;730.44;294.34;1088.91;1114.17;41355.4;1744.16;43099.56;12289.58;41867.84;1135.39;43003.23;12237.69
TO;Natividade;608157.18;574028.87;218789.47;230067.51;362858;314748;19278.91;21545.46;7230.8;7667.91;109688.88;7227.91;116916.79;12555.5;163922.08;10753.18;174675.26;18906.3
TO;Nazaré;134749.12;125808.47;56936.91;53294.18;42065;43039;25046.34;18410.68;10700.87;11064.6;287137.5;17779.27;304916.76;19883.62;287912.02;18174.43;306086.45;20344.16
MA;Nina Rodrigues;38014.81;25897.37;13870.9;14114.73;21145;8194;140.13;759.82;2858.78;2828.82;63386.71;1440.23;64826.94;4474.22;70566.08;1893.88;72459.96;5079.92
MA;Nova Colinas;139575.16;165999.57;69797.78;74082.06;66913;89188;1648.45;1517.85;1215.93;1211.66;54164.84;1676.62;55841.46;10437.66;55591.47;1692.64;57284.11;10727.36
MA;Nova Iorque;63696.56;75488.19;18103.7;16916.46;42856;56360;1390.16;833.62;1346.69;1378.11;35653.82;1166.75;36820.57;8028.91;37399.3;1329.14;38728.44;8270.01
TO;Nova Olinda;535808.55;544982.12;205358.65;185140.91;180861;203035;135253.18;141908.94;14335.73;14897.27;243338.49;39395.43;282733.92;24134.35;222226.57;42110.64;264337.21;22556.29
TO;Nova Rosalândia;109834.99;130806.45;53945.23;47678.22;51583;79530;3098.37;2418.55;1208.39;1179.68;46984.06;2400.2;49384.26;11749.76;52552.55;2493.28;55045.83;13059.51
TO;Novo Acordo;190430.91;295794.36;30221.09;33323.7;154993;257180;3680.45;3712.11;1536.36;1578.55;44785.81;1697.64;46483.46;10893.71;50536.54;1878.54;52415.08;12226.52
TO;Novo Alegre;56446.66;44702.81;46418.33;39939.42;7740;2506;1357.09;1224.78;931.24;1032.61;26047.61;1006.75;27054.36;11497.81;26300.7;1060.73;27361.43;11733.03
TO;Novo Jardim;82843.49;79992.02;26156.22;25296.17;55530;53576;77.87;20.56;1079.4;1099.29;27821.69;1111.61;28933.3;10727.96;28081.64;1128.42;29210.06;10826.56
MA;Olho d'Água das Cunhãs;191727.15;177261.15;121901.36;118728.42;56596;46095;7932.08;7041.34;5297.71;5396.39;131427.58;5515.23;136942.81;7130.21;143853.06;6827.74;150680.8;7747.88
TO;Oliveira de Fátima;32759.11;38742.73;23555.7;20982.51;8769;17320;9.26;10.54;425.15;429.69;19060.59;594.62;19655.21;17707.39;19683.44;638.69;20322.14;18374.45
TO;Palmas;1080320.04;976339.18;180977.89;169102.56;368544;302847;403506.07;371447.22;127292.09;132942.4;7399721.23;1103772.08;8503493.31;29650.9;8142064.07;1283067.88;9425131.95;32293.89
PI;Palmeira do Piauí;92512.22;246102.07;29836.61;27264.74;52291;209146;8482.2;7681.82;1902.41;2009.51;66905.8;4182.7;71088.51;14312.16;66905.74;3924.86;70830.6;14023.08
TO;Palmeirante;544660.43;682307.48;145257.63;138823.12;396874;540830;989.64;1101.16;1539.15;1553.21;79054.14;2929.83;81983.98;13992.83;92707.34;3165.63;95872.97;16197.49
TO;Palmeiras do Tocantins;181111.12;198939.42;64177.51;66887.69;113474;128199;413.31;736.28;3046.3;3116.45;62302.15;2266.55;64568.7;9880.44;66333.27;2420.88;68754.15;10464.86
TO;Palmeirópolis;276800.85;242585.23;133306.17;122346.32;134068;110685;6471.89;6651.2;2954.8;2902.71;107064.62;7103.31;114167.93;14852.08;111640.11;7130.09;118770.19;15543.8
MA;Paraibano;196579.03;170699.72;42099.28;40714.48;137269;111218;9177.76;10662.38;8033;8104.86;131022.78;7164.34;138187.13;6544.19;128406.88;8916.65;137323.53;6450.14
TO;Paraíso do Tocantins;453564.28;462392.35;188353.82;168016.92;104918;121641;132803.92;144590.54;27488.53;28143.89;1086252.02;151202.74;1237454.76;24572.18;1070882.19;159567.52;1230449.71;24316.23
TO;Paranã;899958.67;831596.33;251545.44;254307.95;639423;566700;5732.16;7173.93;3258.06;3414.46;207091.61;7150.57;214242.18;20284.24;206397.5;8938.1;215335.6;20584.61
BA;Paratinga;118102.94;103374.05;79109.94;78460.58;22724;8824;8504.42;8296.27;7764.58;7793.2;200487.09;10793.29;211280.38;6408.84;203524.37;12106.92;215631.28;6769.58
PI;Parnaguá;145905.32;146974.45;84635.12;83809.33;49364;51444;2494.67;2362.7;9411.53;9358.42;76746.92;4223.69;80970.61;7629.38;84693.44;5389.1;90082.55;8370.43
MA;Parnarama;812053.6;767823.05;135516.32;132647.88;661568;619688;7593.72;8043.56;7375.55;7443.61;192795.99;6767.83;199563.82;5805.49;218967.32;9864.51;228831.83;6574.68
MA;Passagem Franca;387506.05;276267.71;52191.64;54534.5;325272;211825;5663.92;5369.15;4378.5;4539.05;122105.97;5863.25;127969.22;6792.78;140236.94;6937.56;147174.5;7787.83
MA;Pastos Bons;341439.34;210928.38;54954.04;51766.73;263967;137241;16491.52;15953.53;6026.78;5967.13;178860.19;11416.05;190276.24;9873.71;184759.34;12305.31;197064.65;10180.01
TO;Pau D'Arco;718790.24;881759.63;420122.82;406941.38;282864;455885;12113.91;15312.64;3689.51;3620.62;72643.62;2517.05;75160.68;15487.47;66275.74;2786.8;69062.53;14295.7
MA;Paulino Neves;37029.64;44693.15;14360.31;14840.6;12969;20463;6167.77;5817.76;3532.56;3571.79;98475.12;7530.21;106005.33;6651.52;94281.9;8880.89;103162.79;6487.82
MA;Pedreiras;141232.29;142602.4;51528.08;52146.71;55093;56359;21160.98;20924.32;13450.23;13172.37;516642.42;45849.48;562491.91;14661.59;548312.5;53822;602134.5;15334.36
TO;Pedro Afonso;658470.85;731237.19;330979.9;352915.09;287060;339139;34634.23;33487.23;5796.72;5695.87;608999.2;63379.98;672379.18;50600.48;473888.42;59229.03;533117.45;39844.35
TO;Peixe;909517.1;978734.17;454230.58;440161.83;446581;528766;5393.72;6501.22;3311.81;3305.12;529238.74;11393.14;540631.87;46642.38;519095.47;9162.16;528257.62;45449.34
TO;Pequizeiro;281524.11;258657.14;224644.04;215874.05;50435;37077;4059.32;3369.62;2385.75;2336.46;72374.4;3111.94;75486.34;13843.08;72316.04;3150.16;75466.2;13864.82
MA;Peritoró;233472.74;259937.1;48121.19;57469.99;129812;142460;50196.78;54562.9;5342.77;5444.2;167902.18;14784.97;182687.15;7936.36;196681.37;21125.82;217807.19;9459.6
TO;Pindorama do Tocantins;279358.6;235224.54;110129.81;98093.05;166112;134033;1484.01;1440.88;1632.77;1657.62;47404.98;1553.38;48958.36;10831.5;50920.62;2165.02;53085.64;11891.94
MA;Pio XII;282132.28;167007.56;53587.7;57601.43;216872;98489;5660.44;4780.1;6012.14;6137.03;140154.34;7203.26;147357.6;7063.78;150988.64;8300.98;159289.62;7376.57
MA;Pirapemas;290602.7;313632.41;53864.19;54324.71;229944;252669;2530.71;2308.78;4263.8;4329.92;106518.98;3886.81;110405.79;5996.08;112379.54;4147.26;116526.8;6289.57
TO;Piraquê;445487.54;325238.75;180975.99;179011.51;253283;134377;10209.59;10785.84;1018.95;1064.4;43627.09;1824.23;45451.32;14931.45;50375.43;1161.54;51536.97;17048.29
TO;Pium;1253751.21;1345651.12;384596.59;430480.16;860089;907845;6541.77;4750.66;2523.85;2575.3;133768.2;6798.21;140566.41;18652.65;150479.15;6874.38;157353.52;20802.95
MA;Poção de Pedras;317926.04;257248.99;111131.48;112863.46;198735;136063;3013.44;3197.52;5046.12;5125;129466.52;6074.52;135541.04;7962.23;143185.24;5920;149105.24;8212
TO;Ponte Alta do Bom Jesus;287585.61;376667.06;66266.67;66142.82;218279;307572;1537.93;1342.95;1502.02;1609.28;43012.94;2242.18;45255.12;9742.76;44857.86;2363.13;47221;10263.2
TO;Ponte Alta do Tocantins;413069.83;491754.6;130319.47;130140.34;276756;354972;3960.43;4546.97;2033.93;2095.29;76478.27;3068.58;79546.85;10007.15;80615.08;3566.29;84181.37;10574.22
PI;Porto Alegre do Piauí;23648.79;27635.56;12347.91;12819.34;10320;13803;-;-;980.89;1013.22;21965.53;732.86;22698.39;8520.42;21961.59;778.36;22739.95;8422.2
TO;Porto Alegre do Tocantins;74126.46;90923.62;20959.72;18047.22;50936;70886;662.55;433.75;1568.19;1556.65;27980.72;1046.72;29027.44;9357.65;29897.67;1193.16;31090.82;10003.48
MA;Porto Franco;594966.25;508377.12;184725.37;191109.58;389714;296314;12205.23;12430.12;8321.66;8523.42;410019.98;60744.87;470764.85;19813.34;461068.67;65473.5;526542.18;22240.43
TO;Porto Nacional;844688.9;835777.85;289859.67;282882.12;415367;397404;116306.14;131966.99;23156.1;23524.75;1597835.12;253803.61;1851638.73;35050.33;1445735.14;231730.01;1677465.15;31830.46
TO;Praia Norte;151866.01;140642.81;44638.24;47316.83;104411;90680;628.84;455.19;2187.93;2190.79;67388.58;1373.46;68762.04;8220.21;70603.32;1530.46;72133.79;8623.29
MA;Presidente Dutra;396755.42;302416.9;128777.87;134032.99;201628;105713;45964.51;41471.84;20385.05;21199.06;589474.87;62650.53;652125.4;18093.12;620197.19;68681.44;688878.62;19030.32
TO;Presidente Kennedy;325580.2;324323.7;199504.19;211812.97;102502;90510;18130.51;16456.28;5443.5;5544.45;47731.67;3683.88;51415.54;13773.25;45534.11;3777.41;49311.52;13356.32
MA;Presidente Vargas;30013.91;27073.81;8536.86;8807.88;18084;15020;966.15;778.47;2426.91;2467.45;56654.35;1622.93;58277.28;5079.07;68133.36;1776.45;69909.81;6284.59
MA;Primeira Cruz;15844.31;11739.98;9040.39;4384.03;4020;4560;-;-;2783.93;2795.95;73739.34;1924.97;75664.31;4975.62;72495.83;1985.8;74481.63;4901.07
TO;Pugmil;92067.97;87010.62;39125.73;33631.93;30560;31224;21168.58;20956.62;1213.66;1198.07;46136.66;4514.72;50651.37;19113.72;51236.96;5258.05;56495.01;21246.71
TO;Recursolândia;218904.72;239334.94;88090.66;74416.69;128146;162022;1223.26;1435.63;1444.81;1460.62;39890.78;1266.26;41157.03;9729.8;41873.75;1223.22;43096.96;10154.8
PI;Redenção do Gurguéia;81472.18;84722.49;30064.01;26181.29;44437;51186;4322.49;4554.67;2648.69;2800.54;63446.13;3967.08;67413.21;7807.88;69316.51;4446.32;73762.82;8422.34
MA;Riachão;952330.69;1140650.15;245264.36;266547;679522;843848;20500.53;22999.71;7043.8;7255.44;297191.81;12693.53;309885.34;15729.42;338789.37;14252.53;353041.9;17440.2
BA;Riachão das Neves;601298.11;682290.55;230394.34;252315.98;354570;415929;9385.02;7513.62;6948.76;6531.96;633401.59;31068.31;664469.9;28502.12;934023.23;44779.7;978802.93;43808.04
TO;Riachinho;522547.19;493374.29;188925.18;183023.17;325154;301952;5359.68;5208.65;3108.33;3190.47;43743.19;1448.51;45191.69;9822.15;45696.78;1342.3;47039.09;10217
PI;Riacho Frio;86876.22;111571.01;36032.59;31359.03;48934;78347;530.13;448.58;1379.49;1416.39;33714.39;1432.62;35147.01;8277.67;35290.45;2140.14;37430.58;8672.52
MA;Ribamar Fiquene;248992.17;218256.01;90490.91;120370.15;152692;92558;3222.25;2509.3;2587.02;2818.57;74805.67;2624.2;77429.87;10067.59;79457.22;3221.05;82678.28;10661.29
PI;Ribeiro Gonçalves;361058.35;356411.69;81794.87;74797.42;248191;249467;28720.01;29738.95;2352.47;2408.31;324151.98;22676.81;346828.78;48077.18;375711.47;23370.89;399082.36;54631.4
TO;Rio da Conceição;10086.21;9851.78;3272.93;2871.55;5945;6071;-;-;868.28;909.23;18650.32;383.67;19033.99;9235.32;20635.29;467.17;21102.46;10106.54
TO;Rio dos Bois;161953.54;199045.84;32947.5;44218.27;126852;152706;1159.14;1063.97;994.9;1057.6;42544.66;1824.52;44369.18;15789.74;49041.03;1387.23;50428.26;17939.62
TO;Rio Sono;437442.55;673350.5;105410.32;102493.28;328886;567728;1403.04;1372.94;1743.18;1756.27;58725.85;2913.38;61639.23;9465.48;63459.75;2255.81;65715.56;10160.11
MA;Sambaíba;335951.46;331875.99;69676.4;83175.69;259629;244121;5307.44;3231.93;1338.62;1347.37;207451.34;9100.17;216551.51;38892.15;244170.56;10199.47;254370.03;44917.89
TO;Sampaio;120497.4;92780.35;21448.22;23862.99;96722;66477;853.69;881.64;1473.49;1558.73;36528.87;799.44;37328.31;8152.07;38393.06;943.11;39336.17;8501.44
TO;Sandolândia;609928.39;548688.95;394492.4;333442.03;210586;210708;3349.34;3089.01;1500.65;1449.91;66869.17;2951.58;69820.76;20475.3;67494.62;3256.36;70750.98;20944.64
TO;Santa Fé do Araguaia;341527.74;314146.81;250174.76;237843.23;81602;66827;6612.53;6317.2;3138.45;3159.38;108532.45;6325.07;114857.52;15517.09;107752.7;5907.93;113660.62;15305.77
PI;Santa Filomena;450668.78;514892.12;92874.05;101732.28;333208;390218;19169.03;17457.45;5417.7;5484.38;198390.56;14779.96;213170.52;34628.09;296270.12;26190.32;322460.44;51577.17
MA;Santa Filomena do Maranhão;325989.04;193006.1;41536.66;41533.12;280893;147417;1771.58;2088.45;1787.79;1967.53;45614.34;1554.76;47169.1;6119.5;48234.79;1793.76;50028.55;6481.22
PI;Santa Luz;77815.16;74109.56;34713.8;28376.95;40555;43182;982.11;921.58;1564.25;1629.03;44022.59;1853.39;45875.98;7963.2;45306.61;2203.59;47510.2;8140.88
BA;Santa Maria da Vitória;209154.34;224197.53;150995.75;143248.63;16662;34782;25950.15;30410.5;15546.44;15756.39;403186.06;30465.99;433652.05;10382.15;429126.84;37082.07;466208.91;11678.58
TO;Santa Maria do Tocantins;291682.12;367573.26;61888.75;66182.22;227607;299365;1221.06;1068.49;965.3;957.54;38753.62;1462.53;40216.15;11983.36;51243.66;1637.37;52881.04;15640.65
MA;Santa Quitéria do Maranhão;167875.62;99325.78;25362.48;23697.89;127491;60559;9321.85;9055.73;5700.29;6013.16;154805.21;8094.61;162899.81;6430.09;175998.21;9181.53;185179.74;7256.54
BA;Santa Rita de Cássia;533993.61;620499.39;179436.94;185491.36;333401;414760;11600.76;10607.12;9554.91;9640.9;208534.18;8136.34;216670.52;7433.97;215557.92;9573.21;225131.13;7985.64
TO;Santa Rita do Tocantins;1001870.84;947315.69;240078.87;232941.61;731910;685478;28934.17;27977.24;947.79;918.84;79467.93;5992.9;85460.83;36474.96;84284.81;6903.47;91188.28;38902.85
TO;Santa Rosa do Tocantins;323677.82;367805.26;107568.52;100211.52;210118;260718;4494.11;5350.65;1497.19;1525.1;139178.16;7691.17;146869.33;30388.85;140579.58;8910.52;149490.09;31072.56
TO;Santa Tereza do Tocantins;97559.76;86474.99;42038.36;36258.58;54866;48040;-;1475.7;655.4;700.71;30781.93;1498.17;32280.11;11426.59;30543.43;1536.89;32080.33;11319.81
TO;Santa Terezinha do Tocantins;49369.48;68499.66;24345.25;22994.56;22947;44778;1344.8;-;732.44;727.09;29725;1007.84;30732.83;12052.09;27864.57;926.41;28790.98;11388.83
BA;Santana;358003.41;394699.95;160818.35;159486.84;49266;91768;92168.93;87219.23;55750.13;56225.87;220695.48;13352.12;234047.6;8513.3;233951.88;15790.35;249742.23;9418.19
MA;Santana do Maranhão;53994.91;77923.23;20580.8;22032.38;30007;52978;1237.93;744.38;2169.17;2168.48;56470.03;1632.49;58102.52;4337.63;63286.93;1545.64;64832.58;4903.02
MA;Santo Amaro do Maranhão;24070.84;21115.81;9280.23;5935.61;11122;11460;897.79;946.44;2770.83;2773.75;79160.21;1898.15;81058.36;5113.12;76908.49;2346.73;79255.22;5062.94
MA;Santo Antônio dos Lopes;3847910.95;3238329.58;45216.46;46121.43;289537;221223;3509514.71;2967252.35;3642.77;3732.81;1496115.23;117685.25;1613800.48;113472.12;1822397.75;91775.18;1914172.94;131703.11
MA;São Benedito do Rio Preto;20870.86;36722.53;6592.63;6329.09;9419;20997;730.61;4913.85;4128.62;4482.59;107556.33;3669.55;111225.87;6052.45;114063.05;4399.72;118462.77;6366.23
TO;São Bento do Tocantins;395620.32;434313.83;60556.77;62330.18;283883;315827;49630.73;54608.23;1549.83;1548.42;47352.78;2333.74;49686.52;9498.47;50765.87;2385;53150.87;10112.42
MA;São Bernardo;77625.91;81284.91;36485.23;39554.53;21314;21042;13558.45;14177.4;6268.23;6510.98;228014.94;20015.68;248030.63;8792.92;231209.18;23184.25;254393.43;8975.53
