States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
PI;Avelino Lopes;41989.22;42592.28;31192.16;31072.2;979;2281;5398.57;4581.86;4419.49;4657.23;74763.04;2998.55;77761.59;6760.11;75621.16;3447.45;79068.61;7027.07
TO;Axixá do Tocantins;101098.94;92525.38;66690.76;67784.99;24491;14514;6341.85;6586.71;3575.34;3639.68;99600.64;4241.06;103841.7;10622.11;115188.7;5387.83;120576.53;12398.62
TO;Babaçulândia;221690.19;231493.58;106492.7;109224.02;110472;117782;2065.32;1809.53;2660.17;2678.04;99854.76;2973.8;102828.56;9563.67;102600.83;2814.32;105415.16;9887
MA;Bacabal;636541.3;494153.25;204197.61;205134.49;328485;185761;66967.36;65408.71;36891.33;37849.05;1018670.9;114862.14;1133533.04;10966.95;1020548.62;117979.07;1138527.68;10881.15
BA;Baianópolis;373834.27;840949.86;73633.68;78770.39;291783;752883;5039.14;6033.23;3378.45;3263.25;140293.29;4246.43;144539.72;10091.44;166560.05;4777.92;171337.97;12394.24
PI;Baixa Grande do Ribeiro;1173523.86;1089394.29;151248.32;187763.52;859167;734734;159896.32;163499.93;3212.22;3396.84;692169.52;52383.31;744552.83;65455.19;886148.03;67109.49;953257.51;82913.59
MA;Balsas;1332808.44;1737261.47;292136.02;327591.79;745926;1135186;258148.62;238507.6;36597.8;35976.08;2722957.67;322990.46;3045948.13;32137.37;3088855.4;368872.87;3457728.27;36852.56
TO;Bandeirantes do Tocantins;355354.12;324260.36;311900.12;292527.36;37582;28704;4149.48;1441.43;1722.53;1587.57;66696.73;1980.22;68676.95;19621.98;118151.58;2161.42;120313;34257.69
MA;Barão de Grajaú;111785.44;150298.62;31449.33;32982.24;48449;85740;26895.09;26528.58;4992.02;5047.81;184079.89;25966.42;210046.31;11281.29;181494.44;26025.72;207520.16;11089.03
MA;Barra do Corda;1411116.48;1595140.78;264241.01;272482.87;1050611;1228381;69965.6;67637.99;26298.87;26638.92;609530.35;39718.21;649248.56;7451.07;674748.05;48638.19;723386.24;8239.59
TO;Barra do Ouro;176501.87;235631.5;53213.07;62754.42;121156;170111;991.62;1582.27;1141.18;1183.81;44853.51;1452.21;46305.72;10190.52;54373.55;1757.89;56131.44;12339.29
