States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
MA,Balsas,1737261.4700000002,327591.79,1135186,238507.6,35976.08,3457728.27,93825,0.18856792466593986,0.6534341661304442,0.13728940871520046,0.02070850048841525,1,G1
TO,Bandeirantes do Tocantins,324260.36,292527.36,28704,1441.43,1587.57,120313.0,3511,0.9021372825219832,0.08852145849711633,0.0044452858807656915,0.004895973100134719,4,G4
MA,Barão de Grajaú,150298.63,32982.24,85740,26528.58,5047.81,207520.16,18714,0.21944471483206465,0.5704642816770852,0.17650580048534042,0.03358520300550977,1,G1
MA,Barra do Corda,1595140.78,272482.87,1228381,67637.99,26638.92,723386.24,87793,0.17082057798058425,0.7700768580438399,0.04240252073550524,0.016700043240070635,5,G5
TO,Barra do Ouro,235631.49999999997,62754.42,170111,1582.27,1183.81,56131.44,4549,0.2663244090879191,0.7219365831817903,0.006715019002128324,0.005023988728162406,1,G1
BA,Barreiras,1331598.42,301425.94,609964,347780.28,72428.2,4744485.92,153830,0.22636399643670352,0.45806903255412396,0.26117504705360045,0.05439192395557213,6,G6
PI,Barreiras do Piauí,39013.42,11320.6,26691,195.9,805.92,27411.94,3344,0.29017194596115903,0.6841491978913923,0.0050213490639887505,0.020657507083459998,1,G1
MA,Barreirinhas,103401.37,22039.56,39699,25898.82,15763.99,485468.72,61828,0.21314572524522646,0.38393108331156545,0.25046882841107426,0.15245436303213392,6,G6
TO,Barrolândia,220730.13,118553.26,69445,30379.41,2352.46,93732.05,5613,0.5370959551376153,0.31461495537559825,0.13763145973773494,0.010657629749051477,2,G2
MA,Belágua,9483.640000000001,2728.46,4359,474.29,1921.89,46498.85,7408,0.2877017685192605,0.45963364277851115,0.05001138803244323,0.202653200669785,1,G1
MA,Benedito Leite,170356.43,27541.9,141075,246.69,1492.84,42865.15,5627,0.16167220691346962,0.8281166727901025,0.0014480815311755477,0.008763038765252359,5,G5
MA,Bernardo do Mearim,101392.56000000001,51403.29,46968,967.35,2053.92,49436.9,6011,0.5069729968352708,0.46322925469087667,0.009540640851754802,0.020257107622097714,2,G2
TO,Bernardo Sayão,252417.07,194507.68,53825,2169.45,1914.94,74747.08,4469,0.7705805316573875,0.21323835190702434,0.008594703995256739,0.007586412440331393,4,G4
PI,Bertolínia,51036.26,21180.66,26209,2274.04,1372.56,58725.66,5494,0.4150119934336881,0.5135368461560467,0.04455734021262529,0.026893820197639872,2,G2
PI,Bom Jesus,1192038.0300000003,387426.1,683016,105021.1,16574.83,908344.9,24960,0.3250115266876174,0.5729817193835669,0.08810213882186291,0.013904615106952584,1,G1
BA,Bom Jesus da Lapa,204785.15999999997,116684.55,18317,46790.87,22992.74,1010113.45,68609,0.569790066819295,0.08944495782799887,0.22848760134767582,0.11227737400503046,4,G4
TO,Bom Jesus do Tocantins,1784560.8299999998,555751.92,1212901,6154.48,9753.43,74015.73,4779,0.31142223378286304,0.6796635786295949,0.003448736460275215,0.005465451127266982,1,G1
MA,Bom Lugar,117501.51999999999,90615.56,21608,2189.67,3088.29,89850.92,16148,0.7711862791221765,0.18389549343702108,0.018635248292958255,0.026282979147844217,4,G4
TO,Brasilândia do Tocantins,224120.12,75336.9,133027,14748.01,1008.21,41055.33,2190,0.3361451885712001,0.5935522433238033,0.06580404293911676,0.0044985251658797975,1,G1
TO,Brejinho de Nazaré,260915.4,128412.18,127207,3077.57,2218.65,193607.86,5474,0.49216021744979405,0.48754117234935157,0.011795279236104884,0.008503330964749494,2,G2
MA,Brejo,143899.78,38621.81,82800,14776.24,7701.73,292085.64,36139,0.26839380852423816,0.5754004627387199,0.10268424315867612,0.05352148557836572,1,G1
BA,Brejolândia,332931.00999999995,144611.09,182412,2918.73,2989.19,84905.18,10493,0.4343575265037643,0.547897295598869,0.00876677122987132,0.008978406667495468,2,G2
MA,Buriti,212114.89,28639.19,169654,7956.63,5865.07,202493.04,28556,0.1350173483813418,0.7998212666729808,0.0375109451297832,0.027650439815894108,5,G5
MA,Buriti Bravo,323642.59,58600.0,254925,5334.88,4782.71,169439.01,23826,0.1810639322840668,0.7876744528586302,0.0164838626461369,0.014777752211166026,5,G5
TO,Buriti do Tocantins,141881.56,64319.75,67613,5695.36,4253.45,97767.48,11196,0.453334104868878,0.47654536643098655,0.040141650542889436,0.029978878157246085,2,G2
MA,Buritirana,387137.13,131840.69,249835,1779.4,3682.04,99444.77,15392,0.34055294567069816,0.6453398050453079,0.004596304157134192,0.009510945126859828,1,G1
TO,Cachoeirinha,281357.22,43839.96,40509,152112.38,44895.88,27213.28,2266,0.15581601211442167,0.14397711208548336,0.5406379121886405,0.1595689636114545,3,G3
MA,Campestre do Maranhão,252389.99000000002,142072.76,62015,43314.56,4987.67,165388.08,14294,0.5629096462977791,0.24571101254847705,0.17161758277338968,0.01976175838035415,2,G2
TO,Campos Lindos,490215.51000000007,173232.04,297783,16903.34,2297.13,306489.51,9916,0.35337935350107547,0.6074532403105727,0.03448144674165858,0.004685959446693149,1,G1
BA,Canápolis,246428.94,174123.76,50026,14192.1,8087.08,65720.12,9719,0.7065881142044437,0.203003754348008,0.057591044298612004,0.03281708714893632,4,G4
MA,Cantanhede,224529.94,24190.13,191871,2461.31,6007.5,124459.36,21872,0.10773676775578349,0.8545452780150389,0.010962056997832894,0.026755897231344736,5,G5
MA,Capinzal do Norte,184389.55000000002,66856.16,112723,2198.97,2611.42,143909.92,10931,0.36258106817875524,0.6113307397300985,0.011925675831412352,0.014162516259733807,1,G1
BA,Carinhanha,155291.84999999998,116535.87,17381,13094.3,8280.68,214413.88,28964,0.7504313330029877,0.11192474041619056,0.08432058733281883,0.053323339248003046,4,G4
TO,Cariri do Tocantins,358240.36,138320.61,75542,142885.54,1492.21,348872.68,4321,0.38611118523887145,0.2108695960443988,0.39885383098654775,0.004165387730182049,6,G6
TO,Carmolândia,89694.89,66983.94,19008,2867.25,835.7,36914.93,2556,0.7467977272729807,0.2119184270140696,0.0319667040117893,0.009317141701160457,4,G4
MA,Carolina,1278968.15,227404.08,1029854,11994.68,9715.39,322915.87,24336,0.17780277014716903,0.805222553822001,0.009378403989184563,0.007596272041645447,5,G5
TO,Carrasco Bonito,123857.09000000001,42946.41,78927,394.66,1589.02,39834.81,4058,0.34674163586436596,0.6372424864817993,0.003186414277939196,0.012829463375895557,1,G1
TO,Caseara,355851.98,128368.07,188116,38045.84,1322.07,158693.79,5294,0.3607344548146114,0.5286355298627256,0.10691479080712155,0.003715224515541546,1,G1
BA,Catolândia,133495.25,24715.36,51341,55402.83,2036.06,85279.58,3555,0.18514037016298332,0.38459046295654714,0.41501723844106814,0.015251928439401402,6,G6
