States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
MA,Lago Verde,136280.82,85385.21,44843,2270.94,3781.67,105582.44,16198,0.6265387161597649,0.3290485044043615,0.016663680186250713,0.027749099249622947,2,G2
TO,Lagoa da Confusão,1850545.2000000002,649070.58,1164326,32897.86,4250.76,483652.75,13033,0.35074559648691633,0.629179984363527,0.01777738798274152,0.0022970311668150554,1,G1
MA,Lagoa do Mato,263610.61,43342.03,216175,1989.32,2104.26,78351.5,11234,0.16441686470813902,0.8200542459197678,0.007546433734211229,0.007982455637881952,5,G5
TO,Lagoa do Tocantins,172451.67,28477.81,141436,1242.98,1294.88,39769.11,4236,0.16513502014796377,0.8201486248292057,0.007207700569092778,0.007508654453737676,5,G5
TO,Lajeado,309727.49,26918.13,25883,218475.57,38450.79,67656.56,3100,0.08690907610428768,0.08356700917958558,0.7053799777346209,0.12414393698150591,3,G3
MA,Lajeado Novo,330214.24999999994,96630.67,223679,7802.42,2102.16,75330.46,7496,0.2926302241650686,0.6773753706873644,0.02362835643828212,0.006366048709284957,1,G1
PI,Landri Sales,67555.96,21661.58,42574,1635.1,1685.28,77731.37,5307,0.32064646849811623,0.6302034639134726,0.02420363799137781,0.02494642959703333,1,G1
TO,Lavandeira,79285.20707752745,41371.33,22851,14252.187077527442,810.69,23723.86,1891,0.5218038966530778,0.28821265457067685,0.17975846444584836,0.010224984330397008,2,G2
MA,Lima Campos,91854.23,17077.32,68340,3293.73,3143.18,171593.58,11866,0.18591762186673386,0.744004930420733,0.035858228848034544,0.03421921886449868,5,G5
TO,Lizarda,153439.03999999998,48622.11,102167,1307.25,1342.68,42461.34,3747,0.3168822615157134,0.6658474922679392,0.008519670091783683,0.008750576124563867,1,G1
MA,Loreto,463131.12,91002.76,310002,58509.82,3616.54,221375.18,12098,0.1964945909918556,0.6693611951621822,0.12633532378476317,0.007808890061199084,1,G1
BA,Luís Eduardo Magalhães,924350.9600000001,211918.03,242229,436433.9,33770.03,6184172.78,84752,0.22926143766865345,0.262053062615957,0.4721517247085458,0.03653377500684372,3,G3
TO,Luzinópolis,71752.78,21605.25,46935,2123.3,1089.23,33685.6,3059,0.30110680032188303,0.6541209971237352,0.02959188480223345,0.015180317752148419,1,G1
MA,Magalhães de Almeida,85089.81,29471.92,39956,11004.3,4657.59,123112.4,19620,0.34636250803709634,0.4695744414049109,0.12932570891861198,0.05473734163938079,1,G1
PI,Manoel Emídio,86024.63,16429.82,66389,1538.62,1667.19,42088.65,5347,0.19098972003715678,0.7717440923605251,0.01788580782038818,0.019380379781929895,5,G5
BA,Mansidão,331444.85,39268.79,285573,3106.05,3497.01,76141.72,13546,0.11847759891276032,0.8616003537240057,0.00937124230471525,0.010550805058518787,5,G5
PI,Marcos Parente,24840.79,12552.76,8541,1872.83,1874.2,41801.34,4549,0.5053285342374377,0.3438296447093671,0.07539333491406673,0.07544848613912843,2,G2
TO,Marianópolis do Tocantins,481095.21,219571.6,255516,4705.77,1301.84,126362.49,5094,0.4563994723622378,0.5311131657286714,0.009781369471543898,0.002705992437546821,2,G2
MA,Mata Roma,63661.270000000004,11657.88,39559,7266.16,5178.23,146852.4,16678,0.1831235851876659,0.621398222184383,0.11413784236475331,0.08134035026319769,1,G1
TO,Mateiros,211492.76,72416.02,134747,3622.62,707.12,135482.42,2637,0.34240425062304736,0.6371234646519341,0.017128813298384303,0.0033434714266341787,1,G1
MA,Matões,485930.08,33177.5,437652,7423.58,7677.0,184877.03,33614,0.0682762836990869,0.9006480932400809,0.015277053851039639,0.015798569209792487,5,G5
MA,Matões do Norte,449841.97,46934.8,399787,27.19,3092.98,78770.41,16451,0.10433619610904693,0.8887276569591762,6.044344861818919e-05,0.006875703483158764,5,G5
TO,Maurilândia do Tocantins,135575.15,51525.93,82233,299.3,1516.92,36631.45,3402,0.3800543831225708,0.6065492090549043,0.002207631708318228,0.011188776114206772,1,G1
MA,Milagres do Maranhão,39909.079999999994,12041.63,25858,368.31,1641.14,53338.9,8445,0.30172657450384727,0.647922728361566,0.009228726896235143,0.041121970238351783,1,G1
TO,Miracema do Tocantins,580433.9400000001,261041.66,292501,17955.54,8935.74,526299.77,18566,0.4497353480053216,0.5039350386712396,0.030934683109674805,0.015394930213763858,2,G2
MA,Mirador,690446.4199999999,173850.85,500689,8033.25,7873.32,205928.67,20999,0.25179484600702257,0.7251670593063544,0.011634863716144694,0.011403230970478491,5,G5
MA,Miranda do Norte,487057.61,46731.33,78702,353392.42,8231.86,554676.85,28001,0.09594620644568104,0.1615866344845736,0.7255659551238712,0.016901203945874084,3,G3
TO,Miranorte,409807.95999999996,155431.09,179284,69691.48,5401.39,262797.71,13374,0.379277869566028,0.43748296153154276,0.1700588734293985,0.013180295473030833,6,G6
PI,Monte Alegre do Piauí,191013.06000000003,67324.7,114168,6946.94,2573.42,196143.77,10610,0.3524612400848402,0.5976973511654123,0.036368926815789446,0.013472481933957812,1,G1
TO,Monte do Carmo,580579.49,190268.68,386963,1327.79,2020.02,178179.42,7827,0.3277220144307888,0.6665116606168778,0.0022870081063318306,0.00347931684600157,1,G1
TO,Monte Santo do Tocantins,309019.0497618855,119111.82,176098,12736.979761885466,1072.25,35871.9,2263,0.3854513826632422,0.5698613083422923,0.041217458184859286,0.003469850809606145,1,G1
MA,Montes Altos,221866.98,85150.38,131838,2212.13,2666.47,66108.63,9208,0.38379023322893746,0.5942209156134906,0.009970523779608845,0.012018327377963137,1,G1
PI,Morro Cabeça no Tempo,26305.61,14391.67,10072,646.74,1195.2,31607.69,4532,0.5470950873216778,0.3828841072303588,0.02458563021347918,0.045435175234484204,2,G2
TO,Muricilândia,177039.34000000003,129890.83,45740,294.34,1114.17,43003.23,3513,0.7336834287791628,0.25836065588586127,0.0016625683308579885,0.006293347004117841,4,G4
TO,Natividade,574028.88,230067.51,314748,21545.46,7667.91,174675.26,9238,0.40079431195169135,0.5483138757757275,0.03753375614132864,0.01335805613125249,1,G1
TO,Nazaré,125808.45999999999,53294.18,43039,18410.68,11064.6,306086.45,15045,0.42361364251656847,0.3420994104847957,0.14633896639383395,0.08794798060480194,6,G6
MA,Nina Rodrigues,25897.37,14114.73,8194,759.82,2828.82,72459.96,14263,0.5450256145701282,0.3164027853021369,0.029339658814775404,0.10923194131295959,2,G2
MA,Nova Colinas,165999.57,74082.06,89188,1517.85,1211.66,57284.11,5340,0.44627862590246464,0.5372785001792474,0.009143698384278946,0.007299175534008913,2,G2
MA,Nova Iorque,75488.18999999999,16916.46,56360,833.62,1378.11,38728.44,4682,0.22409412651171,0.7466068533369261,0.011043051899906463,0.018255968251457613,5,G5
TO,Nova Olinda,544982.1200000001,185140.91,203035,141908.94,14897.27,264337.21,11719,0.3397192370274459,0.3725535068930334,0.2603919189128626,0.027335337166657866,6,G6
TO,Nova Rosalândia,130806.45,47678.22,79530,2418.55,1179.68,55045.83,4214,0.3644944113994379,0.6079975414056417,0.018489531670647742,0.009018515524272696,1,G1
TO,Novo Acordo,295794.36,33323.7,257180,3712.11,1578.55,52415.08,4286,0.11265833466195907,0.86945538785797,0.012549630763750872,0.005336646716320082,5,G5
TO,Novo Alegre,44702.81,39939.42,2506,1224.78,1032.61,27361.43,2332,0.8934431638637482,0.056059115746862447,0.02739827764742306,0.023099442741966333,4,G4
TO,Novo Jardim,79992.01999999999,25296.17,53576,20.56,1099.29,29210.06,2698,0.31623366930851354,0.6697668092392217,0.00025702563830742116,0.013742495813957444,1,G1
MA,Olho d'Água das Cunhãs,177261.15,118728.42,46095,7041.34,5396.39,150680.8,19448,0.6697938042261375,0.260040059539273,0.039722973702923624,0.030443162531665853,4,G4
TO,Oliveira de Fátima,38742.74,20982.51,17320,10.54,429.69,20322.14,1105,0.5415855977145654,0.44705149919701087,0.00027205097006561743,0.011090852118358176,2,G2
TO,Palmas,976339.1799999999,169102.56,302847,371447.22,132942.4,9425131.95,291854,0.17320062890439367,0.31018626129497334,0.38044895422510855,0.1361641555755245,6,G6
PI,Palmeira do Piauí,246102.07,27264.74,209146,7681.82,2009.51,70830.6,5051,0.11078630911149996,0.8498343796945714,0.03121395931371077,0.00816535188021783,5,G5
TO,Palmeirante,682307.49,138823.12,540830,1101.16,1553.21,95872.97,5919,0.20346122830924807,0.7926484875609383,0.001613876464993811,0.00227640766481986,5,G5
TO,Palmeiras do Tocantins,198939.42,66887.69,128199,736.28,3116.45,68754.15,6570,0.33622139845386095,0.6444122537403597,0.0037010261716858323,0.015665321634093433,1,G1
TO,Palmeirópolis,242585.23,122346.32,110685,6651.2,2902.71,118770.19,7641,0.5043436486219709,0.45627262632601334,0.027417992430948907,0.01196573262106683,2,G2
MA,Paraibano,170699.72,40714.48,111218,10662.38,8104.86,137323.53,21290,0.23851521256156719,0.6515417834311621,0.06246278552770912,0.04748021847956165,1,G1
TO,Paraíso do Tocantins,462392.3500000001,168016.92,121641,144590.54,28143.89,1230449.71,50601,0.3633644025468846,0.2630687986079354,0.3127009778600359,0.06086582098514388,6,G6
TO,Paranã,831596.34,254307.95,566700,7173.93,3414.46,215335.6,10460,0.30580696158427056,0.6814604306700052,0.008626697419086766,0.004105910326637561,1,G1
BA,Paratinga,103374.05,78460.58,8824,8296.27,7793.2,215631.28,31852,0.7589968662348046,0.08535991382750313,0.0802548608669197,0.0753883590707726,4,G4
PI,Parnaguá,146974.45000000004,83809.33,51444,2362.7,9358.42,90082.55,10761,0.5702306081090963,0.35002002048655384,0.016075583205108095,0.06367378819924141,2,G2
MA,Parnarama,767823.05,132647.88,619688,8043.56,7443.61,228831.83,34805,0.17275839791472788,0.807071368852498,0.010475799078967478,0.00969443415380666,5,G5
MA,Passagem Franca,276267.7,54534.5,211825,5369.15,4539.05,147174.5,18898,0.1973973070322734,0.766738203561256,0.019434591883162596,0.01642989752330801,5,G5
MA,Pastos Bons,210928.39,51766.73,137241,15953.53,5967.13,197064.65,19358,0.245423245301403,0.6506521004593075,0.07563481615727499,0.02828983808201447,1,G1
TO,Pau D'Arco,881759.64,406941.38,455885,15312.64,3620.62,69062.53,4831,0.4615105540552979,0.5170173132442306,0.017366002372256457,0.0041061303282150675,2,G2
MA,Paulino Neves,44693.15,14840.6,20463,5817.76,3571.79,103162.79,15900,0.33205535971396066,0.4578553984223533,0.1301711783573098,0.07991806350637626,6,G6
MA,Pedreiras,142602.4,52146.71,56359,20924.32,13172.37,602134.5,39267,0.3656790488799628,0.39521775229589406,0.14673189231036785,0.09237130651377537,6,G6
TO,Pedro Afonso,731237.1900000001,352915.09,339139,33487.23,5695.87,533117.45,13380,0.48262738113743914,0.46378795367341746,0.04579530480390364,0.007789360385239705,2,G2
TO,Peixe,978734.17,440161.83,528766,6501.22,3305.12,528257.62,11622,0.449725618550745,0.540254970356251,0.006642477803753393,0.0033769332892505427,2,G2
TO,Pequizeiro,258657.12999999998,215874.05,37077,3369.62,2336.46,75466.2,5442,0.8345953966163624,0.1433442024196279,0.013027361743324068,0.009033039220685702,4,G4
MA,Peritoró,259937.09,57469.99,142460,54562.9,5444.2,217807.19,23024,0.22109191881774162,0.5480556853198595,0.20990809737848493,0.020944298483913933,1,G1
TO,Pindorama do Tocantins,235224.55,98093.05,134033,1440.88,1657.62,53085.64,4464,0.4170187593089242,0.5698087210709937,0.006125551095750848,0.007046968524331325,1,G1
MA,Pio XII,167007.56,57601.43,98489,4780.1,6137.03,159289.62,21593,0.34490312893619907,0.5897277943585308,0.028622057588291214,0.0367470191169789,1,G1
MA,Pirapemas,313632.41000000003,54324.71,252669,2308.78,4329.92,116526.8,18526,0.17321140375766647,0.8056214598484894,0.0073614203328029775,0.013805716061041012,5,G5
TO,Piraquê,325238.75000000006,179011.51,134377,10785.84,1064.4,51536.97,3022,0.5504003136157668,0.41316417554796275,0.03316283806895703,0.003272672767313243,2,G2
TO,Pium,1345651.1199999999,430480.16,907845,4750.66,2575.3,157353.52,7564,0.3199047313244164,0.6746510938139747,0.003530380147864775,0.0019137947137442286,1,G1
MA,Poção de Pedras,257248.98,112863.46,136063,3197.52,5125.0,149105.24,18156,0.43873239069791453,0.5289156054185327,0.012429670275077475,0.019922333608475336,2,G2
TO,Ponte Alta do Bom Jesus,376667.05000000005,66142.82,307572,1342.95,1609.28,47221.0,4601,0.175600228371449,0.8165620008439813,0.003565350353846985,0.00427242043072257,5,G5
TO,Ponte Alta do Tocantins,491754.5999999999,130140.34,354972,4546.97,2095.29,84181.37,7961,0.2646448858841382,0.7218478485000447,0.009246420877405114,0.004260844738412209,1,G1
PI,Porto Alegre do Piauí,42547.123479252834,12819.34,13803,14911.563479252833,1013.22,22739.95,2700,0.30129745448599055,0.32441676125838986,0.35047171841180114,0.023814065843818427,6,G6
TO,Porto Alegre do Tocantins,90923.62,18047.22,70886,433.75,1556.65,31090.82,3108,0.19848769769615424,0.7796214009077069,0.004770487580674857,0.017120413815464013,5,G5
MA,Porto Franco,508377.11999999994,191109.58,296314,12430.12,8523.42,526542.18,23674,0.3759208911683516,0.5828625804402843,0.024450588964349936,0.01676593942701434,1,G1
TO,Porto Nacional,835777.86,282882.12,397404,131966.99,23524.75,1677465.15,52699,0.3384656779494015,0.47548998246974383,0.1578972072794558,0.028147132301398845,6,G6
TO,Praia Norte,140642.81000000003,47316.83,90680,455.19,2190.79,72133.79,8364,0.33643262673719326,0.6447538981907428,0.003236496767947113,0.015576978304116645,1,G1
MA,Presidente Dutra,302416.89,134032.99,105713,41471.84,21199.06,688878.62,36199,0.4432060325731145,0.349560502391252,0.13713466863573656,0.07009879639989684,2,G2
TO,Presidente Kennedy,324323.69999999995,211812.97,90510,16456.28,5544.45,49311.52,3691,0.6530912480339859,0.2790730372155967,0.05074029434173328,0.017095420408684288,4,G4
MA,Presidente Vargas,27073.8,8807.88,15020,778.47,2467.45,69909.81,11124,0.32532854641756975,0.5547798979086792,0.02875362896970503,0.09113792670404597,1,G1
MA,Primeira Cruz,30672.958611666512,4384.03,4560,18932.978611666513,2795.95,74481.63,15197,0.14292817512336506,0.14866515022993562,0.6172530942113071,0.09115358043539222,3,G3
TO,Pugmil,87010.62,33631.93,31224,20956.62,1198.07,56495.01,2659,0.38652672512849584,0.3588527469405459,0.2408512891874578,0.013769238743500506,6,G6
TO,Recursolândia,239334.94,74416.69,162022,1435.63,1460.62,43096.96,4243,0.31093115781590436,0.6769676003010676,0.0059984137710941835,0.006102828111933844,1,G1
PI,Redenção do Gurguéia,84722.5,26181.29,51186,4554.67,2800.54,73762.82,8757,0.30902404910147835,0.6041606420962554,0.05375986308241613,0.0330554457198501,1,G1
MA,Riachão,1140650.15,266547.0,843848,22999.71,7255.44,353041.9,20242,0.2336798886144012,0.7397956332184764,0.02016368471963117,0.006360793447491328,5,G5
BA,Riachão das Neves,682290.5599999999,252315.98,415929,7513.62,6531.96,978802.93,22342,0.36980722699724883,0.6096068513684259,0.011012346411476073,0.009573575222849339,1,G1
TO,Riachinho,493374.29000000004,183023.17,301952,5208.65,3190.47,47039.09,4604,0.3709621147871325,0.6120140552925852,0.010557197862904448,0.006466632057377776,1,G1
PI,Riacho Frio,111571.0,31359.03,78347,448.58,1416.39,37430.58,4315,0.28106792983839884,0.7022165257997149,0.004020578824246444,0.01269496553763971,1,G1
MA,Ribamar Fiquene,218256.02,120370.15,92558,2509.3,2818.57,82678.28,7754,0.5515089572328864,0.42407994061286375,0.011497048283021016,0.012914053871228846,2,G2
PI,Ribeiro Gonçalves,356411.68,74797.42,249467,29738.95,2408.31,399082.36,7304,0.2098624265063367,0.6999405855610569,0.08343988614514541,0.006757101787461062,5,G5
TO,Rio da Conceição,24923.27670087686,2871.55,6071,15071.496700876862,909.23,21102.46,2088,0.1152155888033363,0.2435875536295919,0.6047156993745775,0.03648115819249445,3,G3
TO,Rio dos Bois,199045.84,44218.27,152706,1063.97,1057.6,50428.26,2810,0.22215118889196578,0.767190110579553,0.005345351603429642,0.005313348925051636,5,G5
TO,Rio Sono,673350.49,102493.28,567728,1372.94,1756.27,65715.56,6467,0.1522138641348579,0.8431389126931503,0.002038967848675658,0.0026082553233160934,5,G5
MA,Sambaíba,331875.99,83175.69,244121,3231.93,1347.37,254370.03,5663,0.25062280040204177,0.7355789733388065,0.009738366430183757,0.0040598598289680425,5,G5
TO,Sampaio,92780.36,23862.99,66477,881.64,1558.73,39336.17,4627,0.2571987217984496,0.7164986210443676,0.009502442111671047,0.016800215045511786,1,G1
TO,Sandolândia,548688.9500000001,333442.03,210708,3089.01,1449.91,70750.98,3377,0.6077068437408845,0.3840208555320824,0.005629801730105919,0.0026424989969271295,2,G2
TO,Santa Fé do Araguaia,314146.81,237843.23,66827,6317.2,3159.38,113660.62,7425,0.7571085315174775,0.2127253814864458,0.020109069387016853,0.010057017609059917,4,G4
PI,Santa Filomena,514892.11000000004,101732.28,390218,17457.45,5484.38,322460.44,6251,0.19757979977591808,0.7578636231190258,0.033905064111392186,0.010651512993663856,5,G5
MA,Santa Filomena do Maranhão,193006.1,41533.12,147417,2088.45,1967.53,50028.55,7719,0.21519071158890835,0.7637945121941742,0.01082064245637832,0.010194133760539174,5,G5
PI,Santa Luz,74109.56,28376.95,43182,921.58,1629.03,47510.2,5836,0.38290539034370197,0.5826778623432659,0.01243537271034938,0.02198137460268284,1,G1
BA,Santa Maria da Vitória,224197.52000000002,143248.63,34782,30410.5,15756.39,466208.91,39919,0.6389394048604997,0.15513998549136493,0.13564155392976693,0.07027905571836833,4,G4
TO,Santa Maria do Tocantins,367573.24999999994,66182.22,299365,1068.49,957.54,52881.04,3381,0.1800517855964764,0.8144363062328395,0.0029068763845029534,0.002605031786181394,5,G5
MA,Santa Quitéria do Maranhão,99325.78,23697.89,60559,9055.73,6013.16,185179.74,25519,0.23858750467401313,0.6097007242228554,0.09117199985743882,0.06053977124569271,1,G1
BA,Santa Rita de Cássia,620499.38,185491.36,414760,10607.12,9640.9,225131.13,28191,0.29893883213872025,0.6684293544338432,0.017094489280553352,0.015537324146883112,1,G1
TO,Santa Rita do Tocantins,947315.69,232941.61,685478,27977.24,918.84,91188.28,2343,0.24589649729120394,0.723600387110658,0.02953317494403582,0.00096994065410233,5,G5
TO,Santa Rosa do Tocantins,367805.27,100211.52,260718,5350.65,1525.1,149490.09,4811,0.27245808631290136,0.7088479183563628,0.014547507706999412,0.004146487623736332,1,G1
TO,Santa Tereza do Tocantins,86474.99,36258.58,48040,1475.7,700.71,32080.33,2833,0.4192955674235984,0.5555363464048969,0.017065049675056336,0.00810303649644828,1,G1
TO,Santa Terezinha do Tocantins,83528.16745677323,22994.56,44778,15028.517456773228,727.09,28790.98,2528,0.2752910868288826,0.5360826337196147,0.17992155118871314,0.008704728262789643,1,G1
BA,Santana,394699.94,159486.84,91768,87219.23,56225.87,249742.23,26517,0.4040711027217283,0.23250066873585032,0.22097604068548882,0.14245218785693253,6,G6
MA,Santana do Maranhão,77923.24,22032.38,52978,744.38,2168.48,64832.58,13222,0.2827446600013038,0.6798741941428513,0.009552734203557244,0.027828411652287558,1,G1
MA,Santo Amaro do Maranhão,21115.8,5935.61,11460,946.44,2773.75,79255.22,15653,0.28109804032998986,0.5427215639473759,0.044821413349245595,0.13135898237338864,1,G1
MA,Santo Antônio dos Lopes,3238329.59,46121.43,221223,2967252.35,3732.81,1914172.94,14533,0.014242352026928798,0.06831392353735063,0.9162910283014152,0.0011526961343054647,3,G3
MA,São Benedito do Rio Preto,36722.53,6329.09,20997,4913.85,4482.59,118462.77,18607,0.17234896397388744,0.5717743303634036,0.13381022494909803,0.12206648071361097,1,G1
TO,São Bento do Tocantins,434313.82999999996,62330.18,315827,54608.23,1548.42,53150.87,5255,0.14351414966454099,0.7271861455574649,0.12573449480068366,0.003565209977310647,5,G5
MA,São Bernardo,81284.90999999999,39554.53,21042,14177.4,6510.98,254393.43,28342,0.48661590447722713,0.2588672362434799,0.17441613701731357,0.0801007222619795,6,G6
BA,São Desidério,1577369.61,487069.25,962868,118862.1,8570.26,3645980.96,33193,0.30878574489589666,0.6104263667156615,0.07535462788585105,0.0054332605025907655,1,G1
MA,São Domingos do Azeitão,250909.78999999998,40688.02,174674,33523.55,2024.22,217717.0,7363,0.16216194672993828,0.6961625530833213,0.1336079791864638,0.008067521000276634,5,G5
MA,São Domingos do Maranhão,475454.76,118658.24,317573,29365.76,9857.76,290937.99,34368,0.24956788738428026,0.6679352626525392,0.06176352088682422,0.020733329076356288,1,G1
MA,São Félix de Balsas,160199.94,34147.29,124550,665.06,837.59,46713.32,4608,0.21315419968322086,0.7774659591008586,0.004151437260213705,0.00522840395570685,5,G5
BA,São Félix do Coribe,141313.75999999998,99040.17,13559,20950.02,7764.57,214330.55,15310,0.7008529813374155,0.09594960887036055,0.14825180506130475,0.05494560473091934,4,G4
TO,São Félix do Tocantins,19721.3,7654.0,10629,692.19,746.11,21497.07,1572,0.388108289007317,0.5389604133601741,0.03509859897674089,0.03783269865576813,1,G1
MA,São Francisco do Brejão,227192.55000000002,139624.76,65125,18005.45,4437.34,102538.69,11652,0.6145657505054634,0.2866511247838012,0.07925193849886362,0.019531186211871825,2,G2
MA,São Francisco do Maranhão,165366.65,40825.29,121158,829.5,2553.86,74646.56,12200,0.2468774084738368,0.7326628434451566,0.005016126286648487,0.015443621794358174,5,G5
PI,São Gonçalo do Gurguéia,73279.67,14649.45,56787,952.96,890.26,32269.84,3024,0.19991151706878593,0.7749352583056119,0.013004425374732174,0.01214879925086999,5,G5
MA,São João do Paraíso,785033.2800000001,233635.57,527291,16542.18,7564.53,123747.32,11162,0.29761231269074345,0.6716798044536404,0.02107194742113353,0.009635935434482469,1,G1
MA,São João do Soter,523956.6,20004.62,497674,2873.87,3404.11,102083.51,18438,0.03817991795503673,0.949838211790824,0.005484939019758507,0.006496931234380864,5,G5
MA,São João dos Patos,272842.78,49132.54,202950,11526.93,9233.31,267000.88,25860,0.18007637951790403,0.743834966056276,0.0422475170499289,0.03384113737589097,5,G5
MA,São José dos Basílios,144384.83,31864.94,109810,1077.74,1632.15,50523.42,7642,0.22069451479078517,0.7605369622279571,0.007464357578285753,0.011304165402972044,5,G5
MA,São Luís Gonzaga do Maranhão,342459.01999999996,132276.96,203907,1936.45,4338.61,138196.44,18988,0.38625631761721446,0.5954201469127606,0.0056545451774054605,0.012668990292619538,1,G1
MA,São Mateus do Maranhão,307875.48,79197.99,203612,12189.48,12876.01,344585.8,41350,0.257240329759291,0.6613452945327117,0.03959224034340117,0.04182213536459611,1,G1
TO,São Miguel do Tocantins,136872.69,38413.39,93894,1379.37,3185.93,105746.34,11966,0.2806505081473886,0.6859951389864553,0.010077759120537485,0.023276593745618645,1,G1
MA,São Pedro da Água Branca,157509.41,54519.7,95875,3122.53,3992.18,97408.33,12644,0.3461361451357096,0.6086937916915567,0.019824402872183955,0.02534566030054966,1,G1
MA,São Pedro dos Crentes,233286.67,109509.63,119561,2736.07,1479.97,53609.05,4650,0.4694208631809096,0.51250677974871,0.011728359790124314,0.00634399728025609,2,G2
MA,São Raimundo das Mangabeiras,493527.20000000007,199709.03,225191,63023.78,5603.39,417333.5,18755,0.40465658225119094,0.456288934024305,0.12770072247284445,0.011353761251659482,2,G2
MA,São Raimundo do Doca Bezerra,96507.47,19368.06,74979,573.94,1586.47,38455.46,5345,0.2006897497157474,0.7769243147706597,0.005947104405493171,0.016438831108099714,5,G5
MA,São Roberto,60096.08,16631.57,40732,865.41,1867.1,41077.09,6649,0.2767496648699882,0.6777813128576772,0.014400440095260788,0.031068582177073777,1,G1
TO,São Salvador do Tocantins,146404.72,52836.21,91834,819.75,914.76,36647.83,3070,0.3608914384727487,0.6272611975898045,0.0055992047250935624,0.006248159212353263,1,G1
TO,São Sebastião do Tocantins,87342.99,54384.29,31130,291.67,1537.03,46314.56,4756,0.6226520296591632,0.3564109724203396,0.003339363582584017,0.017597634337913094,2,G2
TO,São Valério,357613.24,119342.72,227282,9324.14,1664.38,91599.82,4017,0.33372008262333913,0.6355525315561583,0.026073251650302432,0.004654134170200186,1,G1
MA,Satubinha,91087.3,40884.91,46020,1748.31,2434.08,71397.46,13729,0.4488541212660821,0.5052295984182208,0.019193784424392863,0.026722495891304276,2,G2
PI,Sebastião Barros,110884.28,34532.3,74809,692.42,850.56,38283.63,3488,0.3114264709118371,0.6746583014292017,0.006244528079183091,0.007670699579778125,1,G1
PI,Sebastião Leal,320666.55000000005,36366.96,280266,2962.03,1071.56,148950.96,4285,0.11341051943210165,0.8740107129976605,0.009237103152792206,0.0033416644174454734,5,G5
MA,Senador Alexandre Costa,217462.29,32250.75,175134,7568.09,2509.45,81235.33,11067,0.1483050233674997,0.8053534247248109,0.03480185001270795,0.011539701894981423,5,G5
MA,Senador La Rocque,272670.16,177775.02,82657,6569.36,5668.78,145403.17,14366,0.651978272943398,0.30313914804612285,0.024092698665669907,0.020789880344809275,4,G4
BA,Serra do Ramalho,188159.54,156965.76,12562,11772.33,6859.45,281390.64,31532,0.834216325146203,0.06676249314810187,0.06256568229280322,0.03645549941289184,4,G4
BA,Serra Dourada,172041.12,153980.59,8646,4191.11,5223.42,143661.41,17452,0.8950220156669522,0.050255427307146106,0.02436109460342969,0.030361462422472025,4,G4
TO,Silvanópolis,192875.55,89774.4,87536,13739.03,1826.12,155721.55,5378,0.4654524640370436,0.4538470531905159,0.0712326160573489,0.009467866715091675,2,G2
BA,Sítio do Mato,88304.51,79360.18,3925,413.38,4605.95,94716.47,12965,0.8987103829691144,0.04444846588243341,0.004681301102287981,0.05215985004616412,4,G4
MA,Sítio Novo,870424.31,279966.63,576678,7842.28,5937.4,152591.71,18000,0.3216438543633966,0.662525153967724,0.009009720787784522,0.0068212708810947605,1,G1
TO,Sítio Novo do Tocantins,121287.11000000002,76075.21,36830,5966.02,2415.88,102146.61,9077,0.6272324404464744,0.3036596386870789,0.04918923371164503,0.019918687154801527,2,G2
TO,Sucupira,177974.99000000002,117708.87,59221,139.48,905.64,64189.92,1946,0.6613787139417734,0.33274900029492904,0.0007837056206605208,0.005088580142636894,2,G2
MA,Sucupira do Norte,275410.43,34257.19,234966,3641.67,2545.57,77724.76,10638,0.12438595735099794,0.8531485172874536,0.013222701841756683,0.009242823519791898,5,G5
MA,Sucupira do Riachão,63379.18000000001,17121.52,44132,1248.5,877.16,40974.11,5644,0.27014423348487626,0.6963169924255883,0.019698897966177534,0.013839876123357858,1,G1
BA,Tabocas do Brejo Velho,300116.52999999997,60143.34,226787,10003.59,3182.6,151196.62,12517,0.2003999579763234,0.7556631419135761,0.03333235260317051,0.01060454750693006,5,G5
TO,Taguatinga,395144.30999999994,209147.46,168056,12852.6,5088.25,242256.36,16537,0.5292938673468436,0.42530284695229453,0.03252634461571774,0.012876941085144313,2,G2
TO,Taipas do Tocantins,75111.24,31307.14,42517,398.57,888.53,23183.13,2131,0.4168103202663143,0.566053762392952,0.005306396219793469,0.011829521120940087,1,G1
TO,Talismã,363939.0800000001,200425.42,143902,12270.96,7340.7,82308.56,2772,0.5507114542356923,0.3954013402462851,0.033717071549447225,0.020170133968575175,2,G2
MA,Tasso Fragoso,439051.3300000001,168598.92,251155,16697.28,2600.13,1164694.95,8459,0.3840073095781306,0.5720401758035899,0.03803035968482318,0.005922154933456185,1,G1
MA,Timbiras,266650.65,19650.78,235977,3617.08,7405.79,167897.43,29063,0.07369485129700601,0.8849669033246309,0.013564864739688426,0.027773380638674607,5,G5
MA,Timon,297834.46,49972.79,131771,60707.27,55383.4,1867974.13,167973,0.1677871324896387,0.44243033529431075,0.20382889877820046,0.18595363343784999,6,G6
TO,Tocantínia,150840.75999999998,35434.28,111784,1689.15,1933.33,71895.46,7471,0.23491183682712818,0.7410729036369216,0.011198233156608336,0.01281702637934203,5,G5
